DATE,AGE,GENDER,DAILY_STRESS,WEEKLY_MEDITATION,CORE_CIRCLE,SUPPORTING_OTHERS,LIFE_VISION,TIME_FOR_PASSION,YEAR
7/7/2015,36 to 50,Female,2,5,5,0,0,0,2015
7/7/2015,36 to 50,Female,3,6,3,8,5,2,2015
7/7/2015,36 to 50,Female,3,3,4,4,5,8,2015
7/7/2015,51 or more,Female,3,0,3,10,0,2,2015
7/7/2015,51 or more,Female,1,5,3,10,0,1,2015
7/8/2015,51 or more,Female,2,3,9,10,10,8,2015
7/8/2015,51 or more,Male,2,10,6,10,5,8,2015
7/9/2015,21 to 35,Female,4,2,3,5,10,2,2015
7/9/2015,21 to 35,Female,3,10,4,3,5,3,2015
7/10/2015,51 or more,Female,4,1,6,10,0,8,2015
7/10/2015,36 to 50,Female,4,6,7,1,4,0,2015
7/12/2015,21 to 35,Male,4,7,8,0,2,1,2015
7/12/2015,21 to 35,Male,2,7,5,2,10,2,2015
7/12/2015,36 to 50,Female,3,5,3,6,2,6,2015
7/12/2015,21 to 35,Female,3,4,3,7,5,5,2015
7/12/2015,51 or more,Female,3,10,4,10,10,3,2015
7/12/2015,21 to 35,Male,2,3,4,6,1,3,2015
7/12/2015,21 to 35,Male,2,6,10,5,2,8,2015
7/12/2015,36 to 50,Female,3,7,7,10,10,4,2015
7/13/2015,36 to 50,Male,1,2,10,10,5,1,2015
7/13/2015,21 to 35,Male,4,5,8,6,6,2,2015
7/13/2015,21 to 35,Female,5,10,4,5,3,10,2015
7/13/2015,36 to 50,Male,2,8,6,10,3,6,2015
7/13/2015,36 to 50,Male,2,7,10,10,4,5,2015
7/13/2015,36 to 50,Female,4,10,10,5,10,3,2015
7/13/2015,21 to 35,Male,5,1,3,6,1,1,2015
7/13/2015,21 to 35,Male,4,1,2,5,1,1,2015
7/13/2015,21 to 35,Female,4,2,3,10,5,2,2015
7/13/2015,36 to 50,Female,4,8,4,7,5,2,2015
7/13/2015,Less than 20,Female,2,7,3,1,1,1,2015
7/13/2015,21 to 35,Male,3,10,3,7,10,5,2015
7/14/2015,36 to 50,Female,1,1,5,2,10,4,2015
7/14/2015,36 to 50,Female,5,1,3,3,1,2,2015
7/14/2015,51 or more,Female,3,7,3,2,2,3,2015
7/14/2015,21 to 35,Male,2,10,6,10,5,4,2015
7/14/2015,21 to 35,Male,3,10,2,0,0,2,2015
7/14/2015,51 or more,Female,3,10,4,10,10,6,2015
7/15/2015,36 to 50,Female,5,10,8,5,0,0,2015
7/15/2015,51 or more,Male,1,10,10,10,3,4,2015
7/15/2015,51 or more,Female,3,10,6,10,4,6,2015
7/15/2015,21 to 35,Female,2,8,8,8,2,4,2015
7/15/2015,51 or more,Female,3,2,8,10,0,0,2015
7/15/2015,51 or more,Female,3,10,8,10,10,0,2015
7/15/2015,21 to 35,Male,2,8,1,1,2,5,2015
7/15/2015,36 to 50,Female,3,3,10,3,1,2,2015
7/16/2015,36 to 50,Female,5,2,2,9,10,2,2015
7/16/2015,51 or more,Female,3,10,10,10,2,4,2015
7/16/2015,21 to 35,Female,2,7,10,5,2,3,2015
7/16/2015,51 or more,Female,2,10,10,10,10,3,2015
7/16/2015,36 to 50,Female,3,1,10,10,6,1,2015
7/16/2015,21 to 35,Female,3,9,3,10,3,5,2015
7/16/2015,21 to 35,Female,5,5,9,5,2,3,2015
7/17/2015,36 to 50,Male,2,2,6,1,1,1,2015
7/18/2015,51 or more,Female,2,5,6,4,3,3,2015
7/18/2015,21 to 35,Female,2,4,10,10,1,4,2015
7/18/2015,Less than 20,Female,4,1,1,1,1,2,2015
7/18/2015,36 to 50,Female,2,2,6,2,10,1,2015
7/18/2015,36 to 50,Male,4,5,6,5,1,4,2015
7/18/2015,51 or more,Female,3,7,1,10,2,1,2015
7/18/2015,21 to 35,Male,5,0,2,1,0,0,2015
7/18/2015,21 to 35,Male,5,0,2,1,0,0,2015
7/18/2015,21 to 35,Female,3,4,7,5,3,9,2015
7/19/2015,21 to 35,Male,2,8,5,4,3,8,2015
7/19/2015,21 to 35,Male,1,7,2,1,1,1,2015
7/19/2015,36 to 50,Female,5,10,4,10,1,1,2015
7/19/2015,21 to 35,Female,3,8,8,7,3,4,2015
7/19/2015,21 to 35,Female,3,8,8,7,3,4,2015
7/19/2015,21 to 35,Male,1,10,3,2,1,3,2015
7/19/2015,51 or more,Female,1,1,1,1,0,1,2015
7/19/2015,21 to 35,Female,2,6,4,10,1,2,2015
7/19/2015,21 to 35,Male,3,10,10,10,3,6,2015
7/19/2015,21 to 35,Female,5,10,0,2,0,1,2015
7/19/2015,36 to 50,Female,4,0,2,2,0,0,2015
7/20/2015,51 or more,Male,3,3,8,10,5,1,2015
7/20/2015,51 or more,Female,1,10,4,2,0,5,2015
7/20/2015,21 to 35,Female,2,10,1,10,2,2,2015
7/20/2015,36 to 50,Female,2,6,1,4,1,1,2015
7/20/2015,36 to 50,Female,2,6,1,4,1,1,2015
7/20/2015,21 to 35,Female,3,7,10,5,5,3,2015
7/20/2015,21 to 35,Male,5,10,2,0,10,1,2015
7/20/2015,Less than 20,Male,1,10,2,1,10,1,2015
7/20/2015,51 or more,Female,1,10,4,10,10,3,2015
7/20/2015,21 to 35,Male,5,10,2,0,10,1,2015
7/20/2015,21 to 35,Female,4,4,7,5,4,0,2015
7/20/2015,21 to 35,Female,2,5,5,5,10,5,2015
7/20/2015,51 or more,Female,2,5,6,10,0,2,2015
7/20/2015,51 or more,Female,4,7,2,10,8,3,2015
7/20/2015,36 to 50,Female,4,4,6,4,2,6,2015
7/20/2015,36 to 50,Female,0,10,3,10,5,5,2015
